"tract","Name","Household_Income_rP_gP_pall"
24005403802,"Pikesville, MD",90719
24005403803,"Pikesville, MD",85716
24027602305,"Ellicott City, MD",77955
24005490500,"Towson, MD",77836
24005490400,"Towson, MD",76317
24005403601,"Baltimore, MD",75513
24005403500,"Pikesville, MD",72847
24510271400,"Evergreen, Baltimore, MD",71859
24510271501,"Mount Washington, Baltimore, MD",69634
24027602100,"Ellicott City, MD",69541
24005491000,"Baltimore, MD",68851
24510271300,"Roland Park, Baltimore, MD",68340
24027602202,"Ellicott City, MD",67481
24027601104,"Ellicott City, MD",67394
24027602700,"Taylor Village, Ellicott City, MD",67058
24510271200,"Homeland, Baltimore, MD",66907
24005403701,"Owings Mills, MD",66489
24005400500,"Catonsville, MD",66377
24027602306,"Dunloggin, Ellicott City, MD",66111
24005490800,"Towson, MD",66098
24005400400,"Catonsville, MD",65126
24027606804,"Kings Contrivance, Columbia, MD",65097
24005411309,"Perry Hall, MD",64395
24005490601,"Baltimore, MD",64049
24005490603,"Baltimore, MD",63507
24510271102,"Mid-Charles, Baltimore, MD",62714
24005411308,"Nottingham, MD",62680
24027602302,"Columbia, MD",62662
24027606705,"Owen Brown, Columbia, MD",62254
24027606601,"Oakland Mills, Columbia, MD",61832
24005411303,"Nottingham, MD",61182
24510120100,"Tuscany - Canterbury, Baltimore, MD",60859
24005490602,"Baltimore, MD",60560
24005401503,"Catonsville, MD",60514
24027606706,"Kendall Ridge, Columbia, MD",60323
24003750400,"Linthicum Heights, MD",59813
24027606604,"Columbia, MD",59729
24005430600,"Relay, Halethorpe, MD",59646
24027601103,"West Elkridge, Elkridge, MD",58596
24005403602,"Baltimore, MD",58546
24005401000,"Catonsville, MD",58481
24027606607,"Long Reach, Columbia, MD",57636
24027602800,"Ellicott City, MD",57477
24005491100,"Baltimore, MD",57223
24027601105,"Ellicott City, MD",57223
24005411306,"Nottingham, MD",57187
24005491202,"Towson, MD",57175
24003751400,"Severn, MD",57063
24005401504,"Catonsville, MD",57009
24005411307,"Nottingham, MD",56426
24005440100,"Baltimore, MD",55609
24005402201,"Randallstown, MD",55288
24005492002,"Parkville, MD",55232
24027606704,"Owen Brown, Columbia, MD",55160
24003731306,"Pasadena, MD",54471
24005401400,"Catonsville, MD",54221
24005440500,"Nottingham, MD",54149
24027601108,"Ellicott City, MD",53603
24005492001,"Parkville, MD",53590
24510272005,"Cross Country, Baltimore, MD",53447
24510120202,"Baltimore, MD",53304
24005403401,"Pikesville, MD",53270
24005400100,"Catonsville, MD",53078
24005440200,"Nottingham, MD",52968
24510020300,"Fells Point, Baltimore, MD",52863
24027606603,"Oakland Mills, Columbia, MD",52832
24005451702,"Middle River, MD",52656
24027601201,"Elkridge, MD",52268
24005440600,"Rosedale, MD",52257
24005492101,"Parkville, MD",51282
24003751200,"Linthicum Heights, MD",51090
24003731308,"Pasadena, MD",50968
24005451200,"Middle River, MD",50924
24025301402,"Harford County, MD",50841
24005491900,"Parkville, MD",50759
24510240200,"Riverside, Baltimore, MD",50598
24005491300,"Baltimore, MD",50529
24027602600,"Ellicott City, MD",50511
24027602900,"Normandy, Ellicott City, MD",49921
24005491500,"Parkville, MD",49917
24510270703,"North Harford Road, Baltimore, MD",49708
24005440800,"Rosedale, MD",49659
24005420702,"Dundalk, MD",49581
24005430400,"Halethorpe, MD",49576
24003750801,"Glen Burnie, MD",49411
24005411302,"White Marsh, MD",49379
24027606606,"Long Reach, Columbia, MD",49351
24005430700,"Halethorpe, MD",49150
24005400200,"Catonsville, MD",49112
24005411408,"Nottingham, MD",48984
24003750804,"Glen Burnie, MD",48803
24510220100,"Baltimore, MD",48714
24005451701,"Middle River, MD",48449
24005440400,"Baltimore, MD",48375
24005451900,"Edgemere, MD",48240
24005400702,"Baltimore, MD",48236
24005490900,"Towson, MD",48228
24005403702,"Pikesville, MD",48014
24510272004,"Cheswolde, Baltimore, MD",48007
24005450900,"Essex, MD",47931
24510270501,"Woodring, Baltimore, MD",47909
24005411407,"Parkville, MD",47845
24005451000,"Essex, MD",47753
24005402202,"Baltimore County, MD",47577
24005441101,"Rosedale, MD",47500
24003740102,"Hanover, MD",47272
24005441102,"Rosedale, MD",47266
24003750300,"Linthicum Heights, MD",47265
24025301401,"Harford County, MD",47213
24027601204,"Elkridge, MD",47128
24005452100,"Sparrows Point, MD",47019
24005440900,"Rosedale, MD",46746
24510271503,"Cross Keys, Baltimore, MD",46668
24005403300,"Lochearn, Pikesville, MD",46253
24005451802,"Middle River, MD",46138
24005430800,"Halethorpe, MD",45689
24003731309,"Riviera Beach, MD",45636
24003751103,"Glen Burnie, MD",45184
24005420500,"Baltimore, MD",45165
24005420200,"Dundalk, MD",44941
24005492102,"Parkville, MD",44711
24005440702,"Rosedale, MD",44500
24003750202,"Brooklyn Park, MD",44262
24005450300,"Essex, MD",44261
24005420303,"Dundalk, MD",44154
24005452400,"Dundalk, MD",44135
24510010400,"Canton, Baltimore, MD",44105
24005401505,"Catonsville, MD",43997
24005400900,"Catonsville, MD",43959
24003750900,"Glen Burnie, MD",43915
24003730100,"Chestnut Hill Cove, Riviera Beach, MD",43897
24005400800,"Catonsville, MD",43524
24510272003,"Baltimore, MD",43493
24005450100,"Rosedale, MD",43492
24005400600,"Catonsville, MD",43297
24027606901,"Savage, Jessup, MD",43251
24003730401,"Glen Burnie, MD",43239
24005491600,"Parkville, MD",43026
24005451801,"Middle River, MD",42873
24005451600,"Middle River, MD",42826
24005420600,"Baltimore, MD",42635
24005420100,"Dundalk, MD",42569
24510270402,"Glenham-Belford, Baltimore, MD",42492
24005400701,"Catonsville, MD",42451
24005403402,"Pikesville, MD",42362
24005420701,"Dundalk, MD",42075
24510240100,"Locust Point, Baltimore, MD",41988
24510270502,"North Harford Road, Baltimore, MD",41953
24003751000,"Glen Burnie, MD",41928
24510270804,"Lake Walker, Baltimore, MD",41890
24005420800,"Dundalk, MD",41885
24005451803,"Middle River, MD",41602
24005450200,"Essex, MD",41514
24005420900,"Dundalk, MD",41469
24005402509,"Owings Mills, MD",41171
24005452000,"Sparrows Point, MD",41064
24005421200,"Dundalk, MD",40741
24510250103,"Violetville, Baltimore, MD",40634
24005450400,"Essex, MD",40542
24510270302,"Waltherson, Baltimore, MD",40535
24005430900,"Baltimore, MD",40369
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",40272
24005402603,"Randallstown, MD",40185
24005452500,"Dundalk, MD",40144
24027601107,"Waterloo, Elkridge, MD",40088
24005451300,"Middle River, MD",39944
24005492401,"Owings Mills, MD",39890
24005402504,"Randallstown, MD",39845
24510261100,"Canton, Baltimore, MD",39841
24005420402,"Dundalk, MD",39808
24027606707,"Columbia, MD",39707
24510270101,"Arcadia, Baltimore, MD",39473
24005421102,"Dundalk, MD",39446
24005440300,"Nottingham, MD",39373
24510271101,"Radnor - Winston, Baltimore, MD",39299
24510010100,"Canton, Baltimore, MD",39259
24005403100,"Gwynn Oak, Pikesville, MD",39243
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",39237
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",39123
24025306500,"Aberdeen Proving Ground, MD",39108
24510272006,"Glen, Baltimore, MD",39001
24005401506,"Windsor Mill, Baltimore, MD",38793
24510130700,"Hampden, Baltimore, MD",38765
24510120201,"Baltimore, MD",38508
24005420302,"Dundalk, MD",38301
24510130805,"Cold Springs, Baltimore, MD",38207
24005450501,"Essex, MD",38166
24510270200,"Lauraville, Baltimore, MD",38140
24005440701,"Rosedale, MD",38139
24510272007,"Fallstaff, Baltimore, MD",38111
24510280403,"Westgate, Baltimore, MD",37885
24003750203,"Baltimore, MD",37879
24005402506,"Randallstown, MD",37738
24510140100,"Bolton Hill, Baltimore, MD",37731
24510240400,"Riverside Park, Baltimore, MD",37546
24005401301,"Woodlawn, MD",37492
24005402604,"Randallstown, MD",37354
24003750201,"Brooklyn, Baltimore, MD",37194
24510260501,"Joseph Lee, Baltimore, MD",36983
24003751102,"Glen Burnie, MD",36862
24005491402,"Parkville, MD",36825
24005451500,"Middle River, MD",36342
24005451100,"Essex, MD",36274
24510270301,"Lauraville, Baltimore, MD",36213
24510270102,"Waltherson, Baltimore, MD",35963
24510130803,"Medfield, Baltimore, MD",35857
24005401101,"Woodlawn, MD",35817
24005421101,"Baltimore, MD",35768
24510130600,"Hampden, Baltimore, MD",35464
24005451402,"Middle River, MD",35435
24003750102,"Baltimore, MD",35359
24005402407,"Windsor Mill, Milford Mill, MD",35281
24003750803,"Glen Burnie, MD",35219
24005401102,"Gwynn Oak, Woodlawn, MD",34865
24005402403,"Gwynn Oak, Baltimore, MD",34843
24510260605,"Medford - Broening, Baltimore, MD",34779
24510260101,"Cedmont, Baltimore, MD",34720
24510130804,"Hampden, Baltimore, MD",34707
24005420301,"Dundalk, MD",34648
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",34637
24510230200,"South Baltimore, Baltimore, MD",34584
24005420401,"Dundalk, MD",34536
24005402302,"Windsor Mill, Milford Mill, MD",34334
24003730203,"Glen Burnie, MD",34261
24027601203,"Elkridge, MD",34112
24005441000,"Baltimore, MD",34100
24005492300,"Essex, MD",34083
24003750101,"Brooklyn Park, MD",34081
24510270401,"Glenham-Belford, Baltimore, MD",34074
24005403201,"Gwynn Oak, Lochearn, MD",34053
24510250206,"Morrell Park, Baltimore, MD",33943
24005402602,"Randallstown, MD",33848
24510010300,"Canton, Baltimore, MD",33660
24005401302,"Gwynn Oak, Baltimore, MD",33599
